MatchID,Season,SeasonID,Week,WeekID,TimeSlot,HomeTeamID,HomeTeam,HomeTeamCoach,HomeTeamRank,Arena,City,State,AwayTeamID,AwayTeam,AwayTeamCoach,AwayTeamRank,IsNeutralSite,IsInvitational,IsConferenceTournament,IsCBI,IsNIT,IsTournament,IsNationalChampionship,GameTitle,NextGameID,HomeOrAway
1,2026,6,1,2601,A,238,LEH,AI,,Stabler Arena,Bethlehem,PA,261,DREX,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2,2026,6,1,2601,A,221,WIU,AI,,Western Hall,Macomb,IL,122,VT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
3,2026,6,1,2601,A,59,MICH,fjames92,,Crisler Center,Ann Arbor,Michigan,368,SAMO,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
4,2026,6,1,2601,A,101,TEX,Matty460,,Moody Center,Austin,Texas,170,CSUF,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
5,2026,6,1,2601,A,350,TXSO,AI,,Health and Physical Education Arena,Houston,TX,130,WYOM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
6,2026,6,1,2601,A,365,SFNY,AI,,Generoso Pope Athletic Complex,Brooklyn,NY,144,PORT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
7,2026,6,1,2601,A,203,PEPP,AI,,Firestone Fieldhouse,Malibu,CA,77,OHST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
8,2026,6,1,2601,A,6,AZST,thornily,,Desert Financial Arena,Tempe,Arizona,80,ODU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
9,2026,6,1,2601,A,76,OHIO,AI,,Convocation Center,Athens,Ohio,308,COPP,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
10,2026,6,1,2601,A,135,VCU,AI,,Siegel Center,Virginia,Virginia,146,JST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
11,2026,6,1,2601,A,232,AMER,AI,,Bender Arena,Washington,DC,141,FGCU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
12,2026,6,1,2601,A,131,UMBC,Rocketcan,,Chesapeake Employers Insurance Arena,Baltimore County,Maryland,63,MSST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
13,2026,6,1,2601,A,57,MIAF,Dearden,,Watsco Center,Coral Gables,Florida,82,OREG,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
14,2026,6,1,2601,A,354,CHST,AI,,Emil and Patricia Jones Convocation Center,Chicago,IL,66,NCST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
15,2026,6,1,2601,A,172,CSUB,AI,,Icardo Center,Bakersfield,CA,157,STET,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
16,2026,6,1,2601,A,169,UCSD,kyletrask11,,RIMAC Arena,San Diego,CA,366,CHAM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
17,2026,6,1,2601,A,378,UWF,AI,,UWF Field House,Pensacola,FL,340,HCU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
18,2026,6,1,2601,A,3,BAMA,thatfunk,,Coleman Coliseum,Tuscaloosa,Alabama,235,COLG,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
19,2026,6,1,2601,A,87,RICE,AI,,Tudor Fieldhouse,Houston,Texas,192,SLU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
20,2026,6,1,2601,A,259,COFC,CRMO15,,TD Arena,Charleston,SC,186,GW,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
21,2026,6,1,2601,A,182,DAY,AI,,University of Dayton Arena,Dayton,OH,102,TAMU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
22,2026,6,1,2601,A,121,UVA,Wahoo,,John Paul Jones Arena,Charlottesville,Virginia,48,LU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
23,2026,6,1,2601,A,331,MCN,AI,,The Legacy Center,Lake Charles,LA,281,RMU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
24,2026,6,1,2601,A,34,UGA,Sarge,,Stegeman Coliseum,Athens,Georgia,336,AMCC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
25,2026,6,1,2601,A,116,UTEP,AI,,Don Haskins Center,El Paso,Texas,145,SEAU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
26,2026,6,1,2601,A,223,ACU,ArmTheSharks,,Moody Coliseum,Abilene,TX,69,UNM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
27,2026,6,1,2601,A,65,NAVY,AI,,Alumni Hall,Annapolis,Maryland,279,OAK,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
28,2026,6,1,2601,A,324,WOF,WappyNemoberry,,Jerry Richardson Indoor Stadium,Spartanburg,SC,147,SHSU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
29,2026,6,1,2601,A,236,HC,AI,,Hart Center,Worcester,MA,199,XAV,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
30,2026,6,1,2601,A,39,UHOU,Mahrowkeen,,Fertitta Center,Houston,Texas,167,UCSB,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
31,2026,6,1,2601,A,295,MAN,AI,,Draddy Gymnasium,Riverdale,NY,212,SIU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
32,2026,6,1,2601,A,7,ARK,bbigguns92,,Bud Walton Arena,Fayetteville,Arkansas,27,ECU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
33,2026,6,1,2601,A,117,UTSA,Dakotagreer,,Convocation Center,San Antonio,Texas,345,SOU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
34,2026,6,1,2601,A,118,UTAH,SageBow,,Jon M. Huntsman Center,Salt Lake City,Utah,156,QUOC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
35,2026,6,1,2601,A,21,CINC,AI,,Fifth Third Arena,Cincinnati,Ohio,355,WAG,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
36,2026,6,1,2601,A,205,SCU,chaserck,,Leavey Center,Santa Clara,CA,31,FAU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
37,2026,6,1,2601,A,292,SIE,AI,,MVP Arena,Loudonville,NY,346,AAMU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
38,2026,6,1,2601,A,74,NW,Willow,,Welsh–Ryan Arena,Evanston,Illinois,300,NIA,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
39,2026,6,1,2601,A,332,NWST,AI,,Prather Coliseum,Natchitotches,LA,276,IUI,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
40,2026,6,1,2601,A,299,SPU,AI,,Yanitelli Center,Jersey City,NJ,42,IOWA,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
41,2026,6,1,2601,A,50,ULM,AI,,Fant–Ewing Coliseum,Monroe,Louisiana,104,TTU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
